"","text","favorited","favoriteCount","replyToSN","created","truncated","replyToSID","id","replyToUID","statusSource","screenName","retweetCount","isRetweet","retweeted","longitude","latitude"
"1435","RT @fightfortheftr: TOMORROW: Join us in DC for #WydenFilmFest. Videos on a JUMBOTRON asking @RonWyden to oppose #FastTrack for #TPP! https…",FALSE,0,NA,2015-03-29 17:02:07,FALSE,NA,"582226240469258241",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","endprism",16,TRUE,FALSE,NA,NA
"1436","RT @fightfortheftr: TOMORROW: Join us in DC for #WydenFilmFest. Videos on a JUMBOTRON asking @RonWyden to oppose #FastTrack for #TPP! https…",FALSE,0,NA,2015-03-29 17:01:23,FALSE,NA,"582226055617904641",NA,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Mobile Web (M5)</a>","maxrafaelwaller",16,TRUE,FALSE,NA,NA
"1437","RT @fightfortheftr: Can't make it to the #WydenFilmFest on Monday? Submit a 30-second video asking @RonWyden to oppose #FastTrack here! htt…",FALSE,0,NA,2015-03-29 17:01:14,FALSE,NA,"582226018217263104",NA,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Mobile Web (M5)</a>","maxrafaelwaller",15,TRUE,FALSE,NA,NA
"1438","RT @citizenstrade: The #WydenWatch #NoFastTrack mobile command center outside Sen. @RonWyden's Eugene office http://t.co/nBDFGnohk0",FALSE,0,NA,2015-03-29 16:58:45,FALSE,NA,"582225392804610049",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","kckitty",18,TRUE,FALSE,NA,NA
"1439","The #WydenWatch #NoFastTrack mobile command center outside Sen. @RonWyden's Eugene office http://t.co/nBDFGnohk0",FALSE,7,NA,2015-03-29 16:53:42,FALSE,NA,"582224123096629248",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","citizenstrade",18,FALSE,FALSE,NA,NA
"1440","RT @Teamsters: Please don't betray us, @RonWyden! Don't cave in to GOP! Stand strong and say #NoFastTrack for TPP! https://t.co/mbEOzn46IY …",FALSE,0,NA,2015-03-29 16:47:32,FALSE,NA,"582222571162058752",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","socks421",20,TRUE,FALSE,NA,NA
"1441","RT @auGoraBorealis: Don't let lobbyists &amp; bureaucrats decide the future of the web in secret! @RonWyden: no #TPP. http://t.co/Ub6vvSTgtD ht…",FALSE,0,NA,2015-03-29 16:42:23,FALSE,NA,"582221274358767617",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","martingod27",2,TRUE,FALSE,NA,NA
"1442","@RonWyden",FALSE,0,"spadeknows",2015-03-29 16:34:31,FALSE,"580096182183182339","582219294513082368","3038336650","<a href=""http://twitter.com/#!/download/ipad"" rel=""nofollow"">Twitter for iPad</a>","spadeknows",0,FALSE,FALSE,NA,NA
"1443","RT @JOHNNYFRESHEXP: Welcome to the Internet under the #TPP. Don't let it happen @RonWyden! #StopFastTrack now! http://t.co/xIujN2fTxq http:…",FALSE,0,NA,2015-03-29 16:29:31,FALSE,NA,"582218035429302272",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","JoeStepper",1,TRUE,FALSE,NA,NA
"1444",".@RonWyden: Don't make it easier for companies to ship jobs overseas http://t.co/Z87AutPaGO #StopFastTrack",FALSE,0,NA,2015-03-29 16:18:20,FALSE,NA,"582215223475482624",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","abovemean",3,FALSE,FALSE,NA,NA
"1445","#HR1673 protects taxpayers http://t.co/gBSLrxFevG @RonWyden  http://t.co/AMjUscZA5x
#Fannieagte
http://t.co/Xgwf1Uit0b",FALSE,0,NA,2015-03-29 16:09:19,FALSE,NA,"582212954172600321",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","SleipnirPerkins",0,FALSE,FALSE,NA,NA
"1446","@RonWyden 
https://t.co/rp7qZeKUQl",FALSE,0,"RonWyden",2015-03-29 16:04:57,FALSE,NA,"582211853780004864","250188760","<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","bristola48",0,FALSE,FALSE,NA,NA
"1447","Sen @RonWyden have you seen the leaked #TPP text? Don't betray the Internet! #NoFastTrack! http://t.co/65D7acokSw http://t.co/rGH9b6MFhV",FALSE,0,NA,2015-03-29 15:51:44,FALSE,NA,"582208528263282688",NA,"<a href=""http://mobile.twitter.com"" rel=""nofollow"">Mobile Web</a>","Msmyr",0,FALSE,FALSE,NA,NA
"1448","RT @fightfortheftr: TOMORROW: Join us in DC for #WydenFilmFest. Videos on a JUMBOTRON asking @RonWyden to oppose #FastTrack for #TPP! https…",FALSE,0,NA,2015-03-29 15:44:48,FALSE,NA,"582206784158470144",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","LiaJEE",16,TRUE,FALSE,NA,NA
"1449","I wonder what @RonWyden thinks about this?  Or his voters?  http://t.co/wfdn0tEZJ0",FALSE,0,NA,2015-03-29 15:40:39,FALSE,NA,"582205736173903872",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","Dplymkr88",0,FALSE,FALSE,NA,NA
"1450","@RonWyden please read TPP chapter on ""Investor State Dispute Settlement."" It's terrifying. This must be stoped!",FALSE,0,"RonWyden",2015-03-29 15:35:57,FALSE,NA,"582204555233984512","250188760","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","WeberRio",0,FALSE,FALSE,NA,NA
"1451","If the #TPP passes, we may as well call it the start of the Apocalypse! Only @RonWyden can stop it by saying #NoToFastTrack.",FALSE,0,NA,2015-03-29 15:33:14,FALSE,NA,"582203873298944000",NA,"<a href=""https://about.twitter.com/products/tweetdeck"" rel=""nofollow"">TweetDeck</a>","flakcanon",1,FALSE,FALSE,NA,NA
"1452","RT @fightfortheftr: TOMORROW: Join us in DC for #WydenFilmFest. Videos on a JUMBOTRON asking @RonWyden to oppose #FastTrack for #TPP! https…",FALSE,0,NA,2015-03-29 15:32:23,FALSE,NA,"582203657128562689",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","tech_pearce",16,TRUE,FALSE,NA,NA
"1453","@JJBimbo @RonWyden #followme #LIVE NOW on #TechieINtheHood #meerkat http://t.co/ZDRnFbQv6F",FALSE,0,"JJBimbo",2015-03-29 15:32:10,FALSE,"580095605688647680","582203602934038528","59208875","<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","yellowboi242",0,FALSE,FALSE,NA,NA
"1454","@ronwyden, the Internet's senator http://t.co/lScfSNcsU0 via @dailydot #Oregon #privacy #NOsurveillanceState",FALSE,0,"RonWyden",2015-03-29 15:32:03,FALSE,NA,"582203575436095488","250188760","<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","sontag",0,FALSE,FALSE,NA,NA
"1455","<U+272F> @RonWyden Make History for Oregon &amp; America by Introducing #AnimalFreedom Amendment for Denizens! View Here:   https://t.co/SlkEma7RvQ",FALSE,0,NA,2015-03-29 15:25:18,FALSE,NA,"582201874708848640",NA,"<a href=""http://www.hootsuite.com"" rel=""nofollow"">Hootsuite</a>","USAnimalFreedom",0,FALSE,FALSE,NA,NA
"1456","RT @hhartus: Sen @RonWyden have you seen the leaked #TPP text? Don't betray the Internet! #NoFastTrack! http://t.co/T74Jn3OTJA http://t.co/…",FALSE,0,NA,2015-03-29 15:24:02,FALSE,NA,"582201558105985024",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","gorgeous_gregg",2,TRUE,FALSE,NA,NA
"1457","Sen @RonWyden have you seen the leaked #TPP text? Don't betray the Internet! #NoFastTrack! http://t.co/7MXb0dUQ0i http://t.co/mWgNeW7MsJ",FALSE,0,NA,2015-03-29 15:22:26,FALSE,NA,"582201155465314304",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","zaiemv",0,FALSE,FALSE,NA,NA
